ID,Area,Feature,Description,Release,Status,Spec Reference,Notes
FEAT-079,Backend,Storage buckets for cards,"Supabase Storage cards/ for posted PNGs/JPEGs; cards-originals/ optionally retained for re-edits.",v1,Spec'd,00-core.md#image-hosting--flair-compositing,Card image upload destination.
FEAT-080,Casting,OS-level screen mirroring (all platforms),"v1 casting is OS screen-mirror only. Web: Cast tab (Chrome/Edge); iOS: AirPlay; Android: Google Cast.",v1,Spec'd,00-core.md#casting-v1,No app-side cast SDK in v1.
FEAT-081,Casting,Native cast streams,App-side cast support replacing v1 mirror-the-screen.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 10.
FEAT-082,Web Platform,Next.js 15 + Tailwind v4 + RSC,"Next.js App Router, React 19 server components for feed pagination, client components for swipe surface. Tailwind v4 styling.",v1,Built (M1 web),10-web.md#stack,M1 web stands up the full stack.
FEAT-083,Web Platform,PWA install (manifest + service worker),"Installable as a PWA on desktop and mobile browsers; offline shell with cached chrome + recent N feed cards.",v1,Spec'd,10-web.md#pwa--install,Not yet built; later v1 milestone.
FEAT-084,Web Platform,Web image capture + upload,"File input with accept=image/* and capture=environment for direct rear-camera capture on mobile browsers.",v1,Spec'd,10-web.md#image-capture--upload,Tied to FEAT-043 card creation.
FEAT-085,Web Platform,Web caption-overlay HTML5 Canvas editor,Final composite is a single PNG/JPEG uploaded to Supabase Storage.,v1,Spec'd,10-web.md#image-capture--upload,Web variant of FEAT-046 + FEAT-050.
FEAT-086,Web Platform,Wake-lock during slideshow,Screen Wake Lock API keeps the screen on while casting.,v1,Spec'd,10-web.md#slideshow--idle,Browser support varies; gracefully degrades.
FEAT-087,Web Platform,Browser support floor,"Chrome 110+ / Edge 110+ / Safari 16+ / Firefox 115+. Older browsers get a ""please update"" page.",v1,Spec'd,10-web.md#browser-support-floor,Gate older browsers at runtime.
FEAT-088,iOS Platform,React Native + Expo (iOS),"Expo SDK ≥ 51 managed workflow. Reanimated 3 + react-native-gesture-handler.",v1,Spec'd,20-ios.md#stack,Shares packages/ui and packages/api-client with Android.
FEAT-089,iOS Platform,LiDAR Night Sight (iOS Pro only),"Real-time render of the LiDAR depth field at zero light; navigation tool, not a content tool. No card creation in v1.",v1,Spec'd,20-ios.md#lidar-night-sight-ios-pro-only--safety--utility-feature,"Custom Expo native module wrapping SwiftUI/Metal/RealityKit. 5-min auto-timeout."
FEAT-090,iOS Platform,Camp Atlas (group-shared site captures),"Capable device captures a 3DGS scene of a place; auto-shared to capturer's troop / contact group; Camp King owns the capture in perpetuity for broader redistribution.",v2,Deferred,00-core.md#deferred-to-v2,"Deferred item 14. iOS Pro first; Android with ToF / ARCore in a later wave. Major legal pre-work."
FEAT-091,iOS Platform,Gaussian Splatting Night Sight v2,"On-device 3DGS accumulation of LiDAR + RGB for a wider perceived FOV than v1's raw point-cloud.",v2,Deferred,00-core.md#deferred-to-v2,"Deferred item 12. Bleeding-edge research."
FEAT-092,iOS Platform,APNs push notifications,"Categories: new_card_from_friend, forwarded_to_you, moderation_decision, system_announcement. Via expo-notifications.",v1,Spec'd,20-ios.md#push-notifications,Expo Push Service.
FEAT-093,iOS Platform,AirPlay screen mirroring,"OS-initiated via Control Center → Screen Mirroring. App keeps screen awake during slideshow.",v1,Spec'd,20-ios.md#casting-v1,No app-side AirPlay code in v1.
FEAT-094,iOS Platform,iOS distribution: TestFlight + App Store,Beta on TestFlight; production on App Store.,v1,Spec'd,20-ios.md#distribution,"Bundle ID app.campking.ios placeholder."
FEAT-095,Android Platform,React Native + Expo (Android),"Expo SDK ≥ 51 managed workflow. Reanimated 3 + react-native-gesture-handler. Min SDK 26 / target 34+.",v1,Spec'd,30-android.md#stack,Shares packages/ui and packages/api-client with iOS.
FEAT-096,Android Platform,FCM push notifications,"Channels: new_card_from_friend, forwarded_to_you, moderation_decision, system_announcement. Via expo-notifications.",v1,Spec'd,30-android.md#push-notifications,Channel registration required Android 8+.
FEAT-097,Android Platform,Google Cast screen mirroring,"OS-initiated via system Cast UI / Quick Settings tile. expo-keep-awake during slideshow.",v1,Spec'd,30-android.md#casting-v1,No app-side cast receiver in v1.
FEAT-098,Android Platform,Android ARCore Depth (LiDAR equivalent),"Software-derived depth via ARCore on supported devices for an Android LiDAR-fantastical equivalent path.",v2,Deferred,30-android.md#lidar--depth,Decision in 30-android.md: not in v1; v2 if device coverage justifies.
FEAT-099,Android Platform,Android distribution: Play Console tracks,Internal testing → Closed testing → Production.,v1,Spec'd,30-android.md#distribution,"Application ID app.campking.android placeholder."
FEAT-100,Operations,Web hosting (Vercel or Cloudflare),"Single production env + a staging env fed by main and a staging branch.",v1,Spec'd,10-web.md#distribution,Decide at deploy time.
FEAT-101,Operations,Cross-platform e2e verification suite,"10-step cross-platform check + 8 troop scenarios + 8 trip scenarios. Runs on each client before declaring v1 done.",v1,Spec'd,00-core.md#verification-cross-platform-end-to-end,Owns the v1 ship gate.
FEAT-102,Operations,Automated test floor,"Unit tests for matching algo / troop-share rule / trip-share rule / feature-gate matrix. Snapshot tests for 7 borders. Playwright + Detox/Maestro e2e.",v1,Spec'd,00-core.md#verification-cross-platform-end-to-end,Required before declaring v1 done.
FEAT-103,Strategic,Real-time chat / DM,Person-to-person threaded messaging.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 1.
FEAT-104,Strategic,Calendar / event management,Shared schedules and event RSVPs.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 2.
FEAT-105,Strategic,Ride-share / transportation coordination,Carpool / ride coordination feature.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 3.
FEAT-106,Strategic,Convoy management,Multi-vehicle convoy coordination.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 4.
FEAT-107,Strategic,Campsite availability / dispersed camping,Real-time campsite availability + dispersed-camping data product.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 5. Composes with Camp Atlas (FEAT-090).
FEAT-108,Strategic,Marketplace / paid connections / merchant onboarding,Bring new merchants onto the platform with a paid-connections marketplace.,v2,Deferred,00-core.md#deferred-to-v2,"Deferred item 6. v1 already has the gold-chevron border for existing merchants."
FEAT-109,Strategic,Monetization billing + ultra-monetized reach,"Buying tools, boosted reach, billing infrastructure beyond v1.",v2,Deferred,00-core.md#deferred-to-v2,Deferred item 7.
FEAT-110,Strategic,Native iOS / Android rebuild,If React Native proves limiting at scale.,v2,Deferred,00-core.md#deferred-to-v2,Deferred item 11. Contingency only.
